=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 62
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-11-21 11:44:00 UTC
latitude:  69.0929133
longitude: -51.9816154
ttf:       0
nsat:      8
min snr:   36
mean snr:  39
max snr:   43
hdop:      1

fix kind:  DiveEnd
fix time:  2021-11-26 14:16:00 UTC
latitude:  69.0933338
longitude: -51.9761419
ttf:       20
nsat:      6
min snr:   0
mean snr:  33
max snr:   46
hdop:      2.3

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1637495116 │          0.0000 │ descent start ║
║ 1637495536 │         10.0800 │       descent ║
║ 1637495609 │         20.1600 │       descent ║
║ 1637495681 │         30.1600 │       descent ║
║ 1637495753 │         40.0800 │       descent ║
║ 1637495827 │         50.0800 │       descent ║
║ 1637495830 │         50.5200 │  descent pump ║
║ 1637495901 │         60.0800 │       descent ║
║ 1637495978 │         70.0800 │       descent ║
║ 1637496056 │         80.1200 │       descent ║
║ 1637496133 │         90.0400 │       descent ║
║ 1637496212 │        100.0800 │       descent ║
║ 1637496292 │        110.0800 │       descent ║
║ 1637496371 │        120.0400 │       descent ║
║ 1637496450 │        130.0000 │       descent ║
║ 1637496530 │        140.0800 │       descent ║
║ 1637496610 │        150.0800 │       descent ║
║ 1637496689 │        160.0400 │       descent ║
║ 1637496769 │        170.0400 │       descent ║
║ 1637496851 │        180.0400 │       descent ║
║ 1637496933 │        190.0400 │       descent ║
║ 1637497017 │        200.0800 │       descent ║
║ 1637497102 │        210.0800 │       descent ║
║ 1637497189 │        220.0800 │       descent ║
║ 1637497278 │        230.0800 │       descent ║
║ 1637497367 │        240.0400 │       descent ║
║ 1637497460 │        250.0800 │       descent ║
║ 1637497549 │        260.0000 │       descent ║
║ 1637497636 │        269.8400 │  descent seek ║
║ 1637497638 │        270.0000 │       descent ║
║ 1637497982 │        311.5200 │       descent ║
║ 1637498062 │        321.0400 │       descent ║
║ 1637498146 │        331.0000 │       descent ║
║ 1637498230 │        341.0800 │       descent ║
║ 1637498314 │        351.0800 │       descent ║
║ 1637498398 │        361.0400 │       descent ║
║ 1637498483 │        371.0400 │       descent ║
║ 1637498571 │        381.0400 │       descent ║
║ 1637498657 │        391.0400 │       descent ║
║ 1637498742 │        401.0400 │       descent ║
║ 1637498827 │        411.0400 │       descent ║
║ 1637498912 │        421.0400 │       descent ║
║ 1637498998 │        431.0400 │       descent ║
║ 1637499085 │        441.0400 │       descent ║
║ 1637499172 │        451.0000 │       descent ║
║ 1637499261 │        461.0400 │       descent ║
║ 1637499861 │        465.6000 │       descent ║
║ 1637500461 │        465.6000 │       descent ║
║ 1637501061 │        465.6000 │       descent ║
║ 1637501582 │        465.6000 │  descent seek ║
