=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 83
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-03-09 00:57:00 UTC
latitude:  69.110233
longitude: -51.9135872
ttf:       10
nsat:      6
min snr:   26
mean snr:  30
max snr:   38
hdop:      1.3

fix kind:  DiveEnd
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1646787518 │         -0.0800 │ descent start ║
║ 1646788010 │         10.1200 │       descent ║
║ 1646788096 │         20.0400 │       descent ║
║ 1646788177 │         30.0400 │       descent ║
║ 1646788250 │         40.1600 │       descent ║
║ 1646788326 │         50.0800 │       descent ║
║ 1646788329 │         50.4800 │  descent pump ║
║ 1646788406 │         60.0800 │       descent ║
║ 1646788490 │         70.0400 │       descent ║
║ 1646788579 │         80.0000 │       descent ║
║ 1646788671 │         90.0400 │       descent ║
║ 1646788759 │        100.0800 │       descent ║
║ 1646788845 │        110.0800 │       descent ║
║ 1646788929 │        120.0400 │       descent ║
║ 1646789015 │        130.0000 │       descent ║
║ 1646789100 │        140.0400 │       descent ║
║ 1646789185 │        150.0800 │       descent ║
║ 1646789268 │        160.0800 │       descent ║
║ 1646789351 │        170.0400 │       descent ║
║ 1646789435 │        180.0800 │       descent ║
║ 1646789518 │        190.0800 │       descent ║
║ 1646789601 │        200.0400 │       descent ║
║ 1646789687 │        210.0000 │       descent ║
║ 1646789776 │        220.0400 │       descent ║
║ 1646789866 │        230.0400 │       descent ║
║ 1646789958 │        240.0400 │       descent ║
║ 1646790049 │        250.0400 │       descent ║
║ 1646790135 │        259.5600 │  descent seek ║
║ 1646790139 │        260.0000 │       descent ║
║ 1646790481 │        299.3200 │       descent ║
║ 1646790567 │        309.0000 │       descent ║
║ 1646790655 │        319.0800 │       descent ║
║ 1646790745 │        329.0400 │       descent ║
║ 1646790837 │        339.0400 │       descent ║
║ 1646790927 │        349.0400 │       descent ║
║ 1646791018 │        359.0000 │       descent ║
