=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 50
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-09-21 02:21:00 UTC
latitude:  69.0924423
longitude: -51.9818924
ttf:       0
nsat:      5
min snr:   33
mean snr:  39
max snr:   47
hdop:      5

fix kind:  DiveEnd
fix time:  2021-09-26 04:52:00 UTC
latitude:  69.0950133
longitude: -51.978188
ttf:       60
nsat:      4
min snr:   30
mean snr:  36
max snr:   40
hdop:      2.6

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1632190930 │          0.0000 │ descent start ║
║ 1632191276 │         10.0800 │       descent ║
║ 1632191351 │         20.1600 │       descent ║
║ 1632191428 │         30.2000 │       descent ║
║ 1632191510 │         40.0400 │       descent ║
║ 1632191596 │         50.1600 │       descent ║
║ 1632191599 │         50.5600 │  descent pump ║
║ 1632191694 │         60.0000 │       descent ║
║ 1632191802 │         70.0000 │       descent ║
║ 1632191912 │         80.0400 │       descent ║
║ 1632192022 │         90.0400 │       descent ║
║ 1632192129 │        100.0400 │       descent ║
║ 1632192239 │        110.0400 │       descent ║
║ 1632192351 │        120.0400 │       descent ║
║ 1632192464 │        130.0400 │       descent ║
║ 1632192580 │        140.0400 │       descent ║
║ 1632192701 │        150.0000 │       descent ║
║ 1632192823 │        160.0400 │       descent ║
║ 1632192942 │        170.0400 │       descent ║
║ 1632193058 │        180.0400 │       descent ║
║ 1632193175 │        190.0000 │       descent ║
║ 1632193297 │        200.0400 │       descent ║
║ 1632193424 │        210.0400 │  descent seek ║
║ 1632193425 │        210.1200 │       descent ║
║ 1632193773 │        242.0400 │       descent ║
║ 1632193883 │        252.0400 │       descent ║
║ 1632193992 │        262.0400 │       descent ║
║ 1632194102 │        272.0400 │       descent ║
║ 1632194212 │        282.0400 │       descent ║
║ 1632194321 │        292.0800 │       descent ║
║ 1632194431 │        302.0400 │       descent ║
║ 1632194541 │        312.0000 │       descent ║
║ 1632194652 │        322.0800 │       descent ║
║ 1632194764 │        332.0400 │       descent ║
║ 1632194877 │        342.0400 │       descent ║
║ 1632194991 │        352.0400 │       descent ║
║ 1632195108 │        362.0400 │       descent ║
║ 1632195227 │        372.0800 │       descent ║
║ 1632195345 │        382.0400 │       descent ║
║ 1632195466 │        392.0000 │       descent ║
║ 1632195588 │        402.0400 │       descent ║
║ 1632195711 │        412.0400 │       descent ║
║ 1632195840 │        422.0400 │       descent ║
║ 1632195965 │        432.0800 │       descent ║
║ 1632196089 │        442.0000 │       descent ║
║ 1632196213 │        452.0400 │       descent ║
║ 1632196338 │        462.0000 │       descent ║
║ 1632196938 │        462.4000 │       descent ║
║ 1632197374 │        462.3600 │  descent seek ║
║ 1632197538 │        462.3200 │       descent ║
║ 1632198138 │        462.2400 │       descent ║
║ 1632198738 │        462.1600 │       descent ║
║ 1632199338 │        462.0800 │       descent ║
║ 1632199938 │        462.0000 │       descent ║
║ 1632200538 │        461.9200 │       descent ║
║ 1632201005 │        461.8800 │  descent seek ║
║ 1632201138 │        461.8800 │       descent ║
║ 1632201738 │        461.8000 │       descent ║
║ 1632202338 │        461.7600 │       descent ║
║ 1632202938 │        461.7200 │       descent ║
║ 1632203538 │        461.6800 │       descent ║
║ 1632204138 │        461.6400 │       descent ║
║ 1632204738 │        461.6000 │       descent ║
║ 1632205338 │        461.6000 │       descent ║
║ 1632205938 │        461.6000 │       descent ║
║ 1632206538 │        461.6000 │       descent ║
║ 1632207138 │        461.6000 │       descent ║
║ 1632207738 │        461.6000 │       descent ║
║ 1632208237 │        461.6400 │       descent ║
║ 1632629445 │        463.0400 │  ascent start ║
║ 1632629655 │        454.0000 │        ascent ║
║ 1632629736 │        443.9600 │        ascent ║
║ 1632629809 │        433.8000 │        ascent ║
║ 1632629875 │        423.9200 │        ascent ║
