=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 79
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-02-16 12:24:00 UTC
latitude:  69.1026629
longitude: -51.9575593
ttf:       0
nsat:      6
min snr:   22
mean snr:  29
max snr:   37
hdop:      1.1

fix kind:  DiveEnd
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1645014285 │         -0.2000 │ descent start ║
║ 1645014780 │         10.0800 │       descent ║
║ 1645014861 │         20.0400 │       descent ║
║ 1645014946 │         30.2000 │       descent ║
║ 1645015025 │         40.1200 │       descent ║
║ 1645015101 │         50.1200 │       descent ║
║ 1645015104 │         50.5200 │  descent pump ║
║ 1645015179 │         60.0800 │       descent ║
║ 1645015257 │         70.0000 │       descent ║
║ 1645015335 │         80.0400 │       descent ║
║ 1645015415 │         90.0000 │       descent ║
║ 1645015496 │        100.0000 │       descent ║
║ 1645015580 │        110.0800 │       descent ║
║ 1645015663 │        120.0400 │       descent ║
║ 1645015745 │        130.0800 │       descent ║
║ 1645015830 │        140.0400 │       descent ║
║ 1645015916 │        150.0400 │       descent ║
║ 1645016001 │        160.0400 │       descent ║
║ 1645016087 │        170.0400 │       descent ║
║ 1645016174 │        180.0800 │       descent ║
║ 1645016261 │        190.0400 │       descent ║
║ 1645016353 │        200.0800 │       descent ║
║ 1645016441 │        210.0400 │       descent ║
║ 1645016531 │        220.0400 │       descent ║
║ 1645016621 │        230.0400 │       descent ║
║ 1645016710 │        240.0000 │       descent ║
║ 1645016797 │        250.0800 │       descent ║
║ 1645016882 │        260.0800 │       descent ║
║ 1645016909 │        263.2800 │  descent seek ║
║ 1645017256 │        306.0000 │       descent ║
║ 1645017330 │        315.0800 │       descent ║
║ 1645017413 │        325.0000 │       descent ║
║ 1645017495 │        335.0400 │       descent ║
║ 1645017578 │        345.0800 │       descent ║
║ 1645017659 │        355.0400 │       descent ║
║ 1645017741 │        365.0000 │       descent ║
║ 1645017826 │        375.0800 │       descent ║
║ 1645017909 │        385.0400 │       descent ║
║ 1645017991 │        395.0800 │       descent ║
║ 1645018071 │        405.0400 │       descent ║
║ 1645018155 │        415.0800 │       descent ║
║ 1645018245 │        425.0400 │       descent ║
║ 1645018337 │        435.0400 │       descent ║
║ 1645018937 │        438.5600 │       descent ║
║ 1645019537 │        438.5200 │       descent ║
║ 1645020137 │        438.4400 │       descent ║
║ 1645020737 │        438.4000 │       descent ║
║ 1645020857 │        438.4000 │  descent seek ║
║ 1645021337 │        438.3600 │       descent ║
║ 1645021937 │        438.2800 │       descent ║
║ 1645022537 │        438.2000 │       descent ║
║ 1645023137 │        438.1600 │       descent ║
║ 1645023737 │        438.0800 │       descent ║
║ 1645024337 │        438.0000 │       descent ║
║ 1645024489 │        438.0000 │  descent seek ║
║ 1645024937 │        437.9600 │       descent ║
║ 1645025537 │        437.8800 │       descent ║
║ 1645026137 │        437.8000 │       descent ║
║ 1645026737 │        437.7200 │       descent ║
║ 1645027337 │        437.6400 │       descent ║
║ 1645027937 │        437.5600 │       descent ║
║ 1645028537 │        437.4800 │       descent ║
║ 1645029137 │        437.4000 │       descent ║
║ 1645029737 │        437.3200 │       descent ║
║ 1645030337 │        437.2800 │       descent ║
║ 1645030937 │        437.2000 │       descent ║
║ 1645031537 │        437.1200 │       descent ║
║ 1645031721 │        437.1200 │       descent ║
║ 1645452928 │        439.4000 │  ascent start ║
║ 1645453125 │        430.0000 │        ascent ║
║ 1645453220 │        419.8800 │        ascent ║
║ 1645453300 │        409.9200 │        ascent ║
║ 1645453374 │        399.8800 │        ascent ║
║ 1645453449 │        389.9200 │        ascent ║
║ 1645453513 │        379.9600 │        ascent ║
║ 1645453577 │        369.9200 │        ascent ║
║ 1645453641 │        359.9200 │        ascent ║
║ 1645453702 │        349.8800 │        ascent ║
║ 1645453759 │        339.9600 │        ascent ║
║ 1645453818 │        329.7600 │        ascent ║
║ 1645453876 │        319.9200 │        ascent ║
║ 1645453930 │        309.8400 │        ascent ║
║ 1645453982 │        299.8800 │        ascent ║
║ 1645454034 │        290.0000 │        ascent ║
║ 1645454086 │        279.8800 │        ascent ║
║ 1645454138 │        269.7200 │        ascent ║
║ 1645454185 │        259.8000 │        ascent ║
║ 1645454233 │        249.8000 │        ascent ║
║ 1645454280 │        239.6800 │        ascent ║
║ 1645454326 │        229.7600 │        ascent ║
║ 1645454371 │        219.8000 │        ascent ║
║ 1645454413 │        209.8400 │        ascent ║
║ 1645454457 │        199.5600 │        ascent ║
║ 1645454500 │        189.8400 │        ascent ║
║ 1645454544 │        179.8000 │        ascent ║
║ 1645454588 │        169.9200 │        ascent ║
║ 1645454634 │        159.8400 │        ascent ║
║ 1645454680 │        149.9600 │        ascent ║
║ 1645454725 │        139.8400 │        ascent ║
║ 1645454769 │        129.6400 │        ascent ║
║ 1645454811 │        119.9200 │        ascent ║
║ 1645454856 │        109.8800 │        ascent ║
║ 1645454900 │         99.7600 │        ascent ║
║ 1645454944 │         89.7200 │        ascent ║
║ 1645454988 │         79.7200 │        ascent ║
║ 1645455032 │         69.7200 │        ascent ║
║ 1645455077 │         59.7200 │        ascent ║
║ 1645455119 │         49.9600 │        ascent ║
║ 1645455163 │         39.8400 │        ascent ║
║ 1645455207 │         29.7200 │        ascent ║
║ 1645455250 │         19.6800 │        ascent ║
║ 1645455292 │          9.8000 │        ascent ║
║ 1645455327 │          1.4800 │    ascent end ║
╚════════════╧═════════════════╧═══════════════╝

Science
science data
descending: binned:
<empty>

unbinned:
<empty>

discrete:
<empty>


park/drift: discrete
╔═════════════════╤════════════════════╤════════════════╤════════════════╗
║ pressure (dBar) │ temperature (degC) │ salinity (psu) │ time (seconds) ║
╟─────────────────┼────────────────────┼────────────────┼────────────────╢
║        436.8800 │             2.8090 │        34.2070 │           1201 ║
║        436.7200 │             2.8090 │        34.2090 │           3001 ║
║        436.6400 │             2.8170 │        34.2080 │           4801 ║
║        436.6000 │             2.8240 │        34.2180 │           6601 ║
║        436.6400 │             2.8280 │        34.2180 │           8401 ║
║        436.7200 │             2.8250 │        34.2220 │          10201 ║
║        436.8400 │             2.8220 │        34.2150 │          12001 ║
║        437.0000 │             2.8220 │        34.2170 │          13801 ║
║        437.1600 │             2.8220 │        34.2160 │          15601 ║
║        437.2800 │             2.8210 │        34.2180 │          17401 ║
║        437.4400 │             2.8190 │        34.2090 │          19201 ║
║        437.6000 │             2.8210 │        34.2190 │          21001 ║
║        437.7200 │             2.8200 │        34.2150 │          22801 ║
║        437.8000 │             2.8200 │        34.2140 │          24601 ║
║        437.8800 │             2.8180 │        34.2150 │          26401 ║
║        437.8400 │             2.8210 │        34.2160 │          28201 ║
║        437.8000 │             2.8220 │        34.2150 │          30001 ║
║        437.6400 │             2.8210 │        34.2180 │          31801 ║
║        437.4400 │             2.8210 │        34.2170 │          33601 ║
║        437.2400 │             2.8210 │        34.2170 │          35401 ║
║        437.0400 │             2.8190 │        34.2180 │          37201 ║
║        436.8400 │             2.8200 │        34.2130 │          39001 ║
║        436.6400 │             2.8200 │        34.2120 │          40801 ║
║        436.4800 │             2.8190 │        34.2130 │          42601 ║
║        436.4000 │             2.8170 │        34.2150 │          44401 ║
║        436.3200 │             2.8170 │        34.2130 │          46201 ║
║        436.3200 │             2.8150 │        34.2110 │          48001 ║
║        436.3600 │             2.8160 │        34.2110 │          49801 ║
║        436.4800 │             2.8150 │        34.2160 │          51601 ║
║        436.6400 │             2.8140 │        34.2130 │          53401 ║
║        436.8400 │             2.8160 │        34.2110 │          55201 ║
║        437.0800 │             2.8310 │        34.2100 │          57001 ║
║        437.3600 │             2.8260 │        34.2150 │          58801 ║
║        437.6400 │             2.8280 │        34.2100 │          60601 ║
║        437.9200 │             2.8280 │        34.2140 │          62401 ║
║        438.2000 │             2.8260 │        34.2100 │          64201 ║
║        438.4000 │             2.8270 │        34.2130 │          66001 ║
║        439.3600 │             2.8210 │        34.2120 │          67801 ║
